index,LU0340554673,LU0474966677,LU0386875149
2019-06-05,362.87,136.61,262.78
2019-06-06,363.23,136.99,263.48
2019-06-07,367.16,136.86,265.57
2019-06-11,374.12,138.54,269.62
2019-06-12,370.34,138.27,268.28
2019-06-13,372.26,137.52,270.01
2019-06-14,370.96,138.5,269.42
2019-06-17,373.09,138.2,270.13
2019-06-18,380.18,138.1,274.36
2019-06-19,378.92,140.05,273.91
2019-06-20,382.68,140.01,276.1
2019-06-21,378.58,139.18,273.42
2019-06-24,376.26,138.47,272.19
2019-06-25,374.23,138.59,272.3
2019-06-26,374.77,137.53,271.03
2019-06-27,374.99,138.79,271.42
2019-06-28,375.06,138.69,272.01
2019-07-01,382.78,141.52,276.68
2019-07-02,382.64,142.13,276.87
2019-07-03,384.95,142.06,278.97
2019-07-05,385.5,143.08,278.49
2019-07-08,383.32,141.72,278.8
2019-07-09,383.8,141.33,277.6
2019-07-10,386.81,140.75,278.87
2019-07-11,387.03,141.71,278.06
2019-07-12,386.25,141.37,277.73
2019-07-16,389.16,141.62,279.21
2019-07-17,387.18,141.32,279.07
2019-07-18,383.72,138.97,277.6
2019-07-19,385.53,141.63,279.37
2019-07-22,382.83,140.99,278.49
2019-07-23,386.34,142.13,280.71
2019-07-24,388.49,143.47,282.29
2019-07-25,388.97,143.71,281.33
2019-07-26,395.05,142.31,283.26
2019-07-29,393.88,142.26,282.71
2019-07-30,390.8,142.61,280.98
2019-07-31,390.44,141.76,281.65
2019-08-01,394.08,142.74,282.2
2019-08-02,383.97,141.96,276.31
2019-08-05,369.27,139.75,268.36
2019-08-06,369.98,138.12,268.84
2019-08-07,364.33,138.49,265.39
2019-08-08,373.92,138.19,271.82
2019-08-09,375.06,139.2,273.14
2019-08-13,376.03,138.58,273.29
2019-08-14,371.19,138.4,270.25
2019-08-16,373.95,138.24,272.21
2019-08-19,380.76,138.72,275.39
2019-08-20,381.77,140.26,275.08
2019-08-21,383.08,139.17,276.96
2019-08-22,382.8,139.51,277.01
2019-08-23,380.92,139.85,275.55
2019-08-26,375.34,138.11,271.59
2019-08-27,379.28,139.28,274.04
2019-08-28,376.13,139.57,271.75
2019-08-29,383.12,139.19,276.6
2019-08-30,385.4,141.22,278.68
2019-09-03,386.59,143.0,278.86
2019-09-04,387.17,141.55,279.26
2019-09-05,388.92,143.36,281.04
2019-09-06,390.47,143.37,282.55
2019-09-09,390.62,144.4,281.25
2019-09-10,388.24,144.59,278.18
2019-09-11,393.13,146.73,281.99
2019-09-12,395.58,147.47,284.02
2019-09-13,394.74,147.75,283.8
2019-09-17,392.96,148.91,283.07
2019-09-18,391.98,147.8,283.04
2019-09-19,394.79,148.55,283.79
2019-09-20,395.31,148.83,284.31
2019-09-24,392.54,150.38,284.25
2019-09-25,385.28,150.63,280.09
2019-09-26,390.0,151.3,283.25
2019-09-27,389.99,150.53,283.75
2019-09-30,388.53,149.02,284.18
